index,label_id,label_name
0,/m/078jl,Snake
1,/m/07rjwbb,Hiss
2,/m/04rlf,Music
3,/m/07qb_dv,Scratch
4,/t/dd00125,"Inside, small room"
5,/m/02sgy,Electric guitar
6,/m/0342h,Guitar
7,/m/042v_gx,Acoustic guitar
8,/m/04szw,Musical instrument
9,/m/0b_fwt,Electronic tuner
10,/m/0fx80y,Plucked string instrument
11,/m/07rqsjt,"Whoosh, swoosh, swish"
12,/m/018vs,Bass guitar
13,/m/07szfh9,Cacophony
14,/t/dd00128,"Outside, urban or manmade"
15,/m/02fsn,Double bass
16,/m/0d8_n,Pizzicato
17,/m/0l14_3,Bowed string instrument
18,/m/07q4ntr,Bellow
19,/m/07rwj3x,Whoop
20,/m/09x0r,Speech
21,/m/01s0vc,Zipper (clothing)
22,/m/025wky1,Air conditioning
23,/m/07ryjzk,"Slap, smack"
24,/m/07xzm,Ukulele
25,/m/01qbl,Cymbal
26,/m/026t6,Drum
27,/m/0283d,Drum and bass
28,/m/02hnl,Drum kit
29,/m/02lkt,Electronic music
30,/m/03qtq,Hi-hat
31,/m/06rvn,Snare drum
32,/m/0bm02,Bass drum
33,/m/0l14md,Percussion
34,/m/03qc9zr,Screaming
35,/g/122z_qxw,Firecracker
36,/m/019jd,"Boat, Water vehicle"
37,/m/02rlv9,"Motorboat, speedboat"
38,/m/07qcpgn,Tap
39,/m/011k_j,Timpani
40,/m/0239kh,Cowbell
41,/m/03t3fj,Rimshot
42,/m/07r_80w,Hoot
43,/m/09d5_,Owl
44,/m/01g50p,"Railroad car, train wagon"
45,/m/04zmvq,Train whistle
46,/m/06d_3,Rail transport
47,/m/07jdr,Train
48,/m/07pt_g0,Pulse
49,/m/015lz1,Singing
50,/m/07sr1lc,Yell
51,/t/dd00126,"Inside, large room or hall"
52,/m/07rrlb6,"Splash, splatter"
53,/m/0fx9l,Microwave oven
54,/m/07qmpdm,Clatter
55,/t/dd00121,Boing
56,/m/01yg9g,Lawn mower
57,/m/07qlf79,Spray
58,/m/01jnbd,Echo
59,/m/03fwl,Goat
60,/m/0ch8v,"Livestock, farm animals, working animals"
61,/m/0jbk,Animal
62,/m/07plz5l,Sigh
63,/t/dd00036,Angry music
64,/t/dd00003,Male singing
65,/m/07lnk,Trance music
66,/m/02fs_r,"Beep, bleep"
67,/m/02cz_7,Beatboxing
68,/m/02dgv,Door
69,/m/02y_763,Sliding door
70,/m/015y_n,Swing music
71,/m/04fgwm,Electric toothbrush
72,/m/030rvx,Buzzer
73,/t/dd00129,"Outside, rural or natural"
74,/m/014zdl,Explosion
75,/m/07pxg6y,Eruption
76,/m/07qsvvw,"Burst, pop"
77,/m/04fq5q,Foghorn
78,/m/07rjzl8,Slam
79,/m/032s66,"Gunshot, gunfire"
80,/m/0_1c,Artillery fire
81,/m/07qz6j3,Whimper
82,/m/07yv9,Vehicle
83,/m/0gvgw0,Air brake
84,/m/02_41,Fire
85,/m/07p6mqd,Slosh
86,/m/01jg02,"Heart sounds, heartbeat"
87,/m/07p_0gm,Throbbing
88,/m/07pzfmf,Crackle
89,/t/dd00067,Heavy engine (low frequency)
90,/m/025_jnm,Finger snapping
91,/m/01bjv,Bus
92,/m/0912c9,"Vehicle horn, car horn, honking"
93,/m/04229,Jet engine
94,/m/07rkbfh,Chatter
95,/m/0dls3,Grunge
96,/m/073cg4,Cap gun
97,/m/07rv4dm,Clang
98,/m/04_sv,Motorcycle
99,/m/07hvw1,Field recording
100,/m/01hgjl,Scratching (performance technique)
101,/m/01v1d8,Sampler
102,/m/0cfdd,Drum machine
103,/m/0130jx,Sink (filling or washing)
104,/m/02jz0l,"Water tap, faucet"
105,/m/0838f,Water
106,/m/01m2v,Computer keyboard
107,/m/06bz3,Radio
108,/m/03lty,Heavy metal
109,/m/0dl5d,Progressive rock
110,/m/02c8p,"Telephone dialing, DTMF"
111,/m/07pjjrj,"Smash, crash"
112,/t/dd00032,Funny music
113,/m/07q2z82,"Accelerating, revving, vroom"
114,/m/07rknqz,Skidding
115,/m/0h9mv,Tire squeal
116,/m/0ltv,"Race car, auto racing"
117,/m/05rwpb,Independent music
118,/m/04k94,Liquid
119,/m/05zc1,Pulleys
120,/t/dd00077,Mechanisms
121,/m/01p970,Tabla
122,/m/03q5_w,"Burping, eructation"
123,/t/dd00127,"Inside, public space"
124,/m/0j6m2,Stream
125,/m/01lsmm,Scissors
126,/m/09ct_,Helicopter
127,/t/dd00092,Wind noise (microphone)
128,/m/081rb,Writing
129,/m/07prgkl,Pour
130,/m/07s34ls,Whir
131,/m/0k4j,Car
132,/t/dd00066,Medium engine (mid frequency)
133,/m/0dv3j,Boiling
134,/m/02_nn,Fart
135,/m/07rbp7_,Whip
136,/m/0z9c,A capella
137,/m/02mk9,Engine
138,/t/dd00130,Engine starting
139,/m/020bb7,"Bird vocalization, bird call, bird song"
140,/m/06_y0by,Environmental noise
141,/m/0dl9sf8,Throat clearing
142,/m/03vt0,Insect
143,/m/09xqv,Cricket
144,/m/07cx4,Telephone
145,/m/07pp8cl,Telephone bell ringing
146,/m/07qwyj0,Rustle
147,/m/0c1dj,Sound effect
148,/m/068hy,"Domestic animals, pets"
149,/m/0bt9lr,Dog
150,/t/dd00136,Whimper (dog)
151,/m/0brhx,Speech synthesizer
152,/m/06by7,Rock music
153,/m/07st88b,Croak
154,/m/09ld4,Frog
155,/m/07s04w4,Snicker
156,/m/01b_21,Cough
157,/m/01z5f,"Canidae, dogs, wolves"
158,/m/07pyy8b,Pant
159,/m/026z9,Disco
160,/m/0ggx5q,Dance music
161,/m/07gxw,Techno
162,/m/025rv6n,Fowl
163,/m/07st89h,Cluck
164,/m/09b5t,"Chicken, rooster"
165,/m/0mbct,Gong
166,/m/0xzly,Maraca
167,/m/07qs1cx,Crack
168,/m/07pc8lb,Breaking
169,/m/01z47d,Busy signal
170,/m/07q0yl5,Snort
171,/m/015p6,Bird
172,/m/07pggtn,"Chirp, tweet"
173,/m/07r4wb8,Knock
174,/m/013y1f,Organ
175,/m/03xq_f,Electronic organ
176,/m/03qjg,Harmonica
177,/m/085jw,"Wind instrument, woodwind instrument"
178,/m/012ndj,"Fire engine, fire truck (siren)"
179,/m/03j1ly,Emergency vehicle
180,/m/03kmc9,Siren
181,/t/dd00018,Oink
182,/m/04zjc,Machine gun
183,/m/01xqw,Cello
184,/m/07y_7,"Violin, fiddle"
185,/m/07pbtc8,"Walk, footsteps"
186,/m/07rv9rh,Clip-clop
187,/m/07rrh0c,Thunk
188,/m/01jt3m,Toilet flush
189,/m/0284vy3,Train horn
190,/m/07rwm0c,Clickety-clack
191,/t/dd00004,Female singing
192,/m/03m9d0z,Wind
193,/m/05kq4,Ocean
194,/m/0hsrw,"Sailboat, sailing ship"
195,/m/01kcd,Brass instrument
196,/m/06ncr,Saxophone
197,/m/07c6l,Trombone
198,/m/03qtwd,Crowd
199,/m/07qfr4h,"Hubbub, speech noise, speech babble"
200,/m/07pl1bw,Splinter
201,/m/083vt,Wood
202,/m/01glhc,Tapping (guitar technique)
203,/t/dd00033,Sad music
204,/m/02rr_,Effects unit
205,/m/07m2kt,Chorus effect
206,/m/012f08,Motor vehicle (road)
207,/m/02x984l,Mechanical fan
208,/m/096m7z,Noise
209,/m/07pczhz,Chop
210,/m/07rn7sz,Shatter
211,/m/07s72n,Dubstep
212,/m/09t49,Rustling leaves
213,/m/01hsr_,Sneeze
214,/m/02cjck,Theme music
215,/m/0llzx,Sewing machine
216,/m/04s8yn,Crow
217,/m/07r5c2p,Caw
218,/m/0dwsp,"Marimba, xylophone"
219,/m/0dwtp,Glockenspiel
220,/m/0j45pbj,Mallet percussion
221,/m/02yds9,Purr
222,/m/01xq0k1,"Cattle, bovinae"
223,/m/07rpkh9,Moo
224,/m/06rqw,Ska
225,/m/014yck,Aircraft engine
226,/m/0cmf2,"Fixed-wing aircraft, airplane"
227,/m/0k5j,Aircraft
228,/m/01m4t,Printer
229,/m/0319l,French horn
230,/m/05pd6,Orchestra
231,/m/02mscn,Christian music
232,/m/0l14qv,Synthesizer
233,/m/05w3f,Psychedelic rock
234,/m/01jg1z,Heart murmur
235,/m/028v0c,Silence
236,/m/07qn4z3,Rattle
237,/m/07rgkc5,Static
238,/m/03r5q_,Jingle (music)
239,/m/07phhsh,Rumble
240,/m/0145m,Afrobeat
241,/m/0164x2,Music of Africa
242,/m/07rgt08,"Chuckle, chortle"
243,/m/07qqyl4,Boom
244,/m/07r660_,Giggle
245,/m/07sq110,Belly laugh
246,/m/07swgks,Gurgling
247,/m/0155w,Blues
248,/m/06j6l,Rhythm and blues
249,/m/03p19w,Jackhammer
250,/m/07pkxdp,Lullaby
251,/m/04rmv,Mouse
252,/m/01h3n,"Bee, wasp, etc."
253,/m/0h2mp,"Fly, housefly"
